Symbol,Leg-In Time,Leg-Out Time,Zone High,Zone Low,Status,Higher Timeframe Leg-In Time,Higher Timeframe Leg-Out Time,Higher Timeframe Zone High,Higher Timeframe Zone Low
INDUSINDBK.NS,2023-11-07 00:00:00,2023-11-09 00:00:00,1495.949951171875,1481.25,Target Achieved,2023-08-01 00:00:00,2023-12-01 00:00:00,1435.0,1458.1500244140625
NESTLEIND.NS,2023-04-12 00:00:00,2023-04-17 00:00:00,1968.0,1941.625,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,2184.9599609375,2157.280029296875
NESTLEIND.NS,2023-04-24 00:00:00,2023-04-26 00:00:00,2092.860107421875,2030.800048828125,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,2184.9599609375,2157.280029296875
NESTLEIND.NS,2023-04-26 00:00:00,2023-04-28 00:00:00,2119.9951171875,2100.0048828125,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,2184.9599609375,2157.280029296875
NESTLEIND.NS,2023-06-12 00:00:00,2023-06-14 00:00:00,2267.800048828125,2229.235107421875,Tested,2023-06-01 00:00:00,2023-10-01 00:00:00,2317.52490234375,2225.514892578125
NESTLEIND.NS,2023-09-05 00:00:00,2023-09-11 00:00:00,2210.0,2177.4599609375,Target Achieved,2023-06-01 00:00:00,2023-10-01 00:00:00,2317.52490234375,2225.514892578125
NESTLEIND.NS,2023-09-14 00:00:00,2023-09-18 00:00:00,2270.10009765625,2231.89501953125,Tested,2023-06-01 00:00:00,2023-10-01 00:00:00,2317.52490234375,2225.514892578125
NESTLEIND.NS,2023-09-18 00:00:00,2023-09-26 00:00:00,2282.655029296875,2235.0,Tested,2023-06-01 00:00:00,2023-10-01 00:00:00,2317.52490234375,2225.514892578125
NESTLEIND.NS,2023-10-11 00:00:00,2023-10-13 00:00:00,2330.0,2296.205078125,Target Achieved,2023-10-01 00:00:00,2023-12-01 00:00:00,2474.5,2413.864990234375
NESTLEIND.NS,2023-10-17 00:00:00,2023-10-19 00:00:00,2344.715087890625,2320.0,Target Achieved,2023-10-01 00:00:00,2023-12-01 00:00:00,2474.5,2413.864990234375
NESTLEIND.NS,2023-11-13 00:00:00,2023-11-17 00:00:00,2427.25,2400.800048828125,Tested,2023-10-01 00:00:00,2023-12-01 00:00:00,2474.5,2413.864990234375
JSWSTEEL.NS,2023-04-06 00:00:00,2023-04-11 00:00:00,693.25,682.7999877929688,Tested,2023-04-01 00:00:00,2023-06-01 00:00:00,736.0,691.1500244140625
JSWSTEEL.NS,2023-04-24 00:00:00,2023-04-27 00:00:00,730.5999755859375,712.0,Tested,2023-04-01 00:00:00,2023-06-01 00:00:00,736.0,691.1500244140625
BPCL.NS,2023-09-01 00:00:00,2023-09-05 00:00:00,174.375,171.39999389648438,Target Achieved,2023-08-01 00:00:00,2023-11-01 00:00:00,189.89999389648438,175.27499389648438
BPCL.NS,2023-09-06 00:00:00,2023-09-08 00:00:00,178.125,176.5749969482422,Target Achieved,2023-08-01 00:00:00,2023-11-01 00:00:00,189.89999389648438,175.27499389648438
BPCL.NS,2023-10-12 00:00:00,2023-10-17 00:00:00,175.3000030517578,171.0,Tested,2023-08-01 00:00:00,2023-11-01 00:00:00,189.89999389648438,175.27499389648438
BPCL.NS,2023-10-30 00:00:00,2023-11-01 00:00:00,176.97500610351562,172.3249969482422,Fresh,2023-08-01 00:00:00,2023-11-01 00:00:00,189.89999389648438,175.27499389648438
HEROMOTOCO.NS,2023-09-13 00:00:00,2023-09-15 00:00:00,3028.949951171875,2976.0,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,3132.85009765625,3041.5
HEROMOTOCO.NS,2023-10-09 00:00:00,2023-10-11 00:00:00,3003.10009765625,2966.0,Fresh,2023-09-01 00:00:00,2023-11-01 00:00:00,3132.85009765625,3041.5
HEROMOTOCO.NS,2023-10-11 00:00:00,2023-10-16 00:00:00,3132.10009765625,3064.949951171875,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,3132.85009765625,3041.5
HEROMOTOCO.NS,2023-10-16 00:00:00,2023-10-19 00:00:00,3187.550048828125,3149.0,Tested,2023-09-01 00:00:00,2023-11-01 00:00:00,3132.85009765625,3041.5
COALINDIA.NS,2023-02-23 00:00:00,2023-03-01 00:00:00,218.0,212.0,Tested,2023-02-01 00:00:00,2023-04-01 00:00:00,228.0,213.8000030517578
COALINDIA.NS,2023-03-24 00:00:00,2023-04-03 00:00:00,214.89999389648438,207.60000610351562,Fresh,N/A,N/A,N/A,N/A
COALINDIA.NS,2023-04-05 00:00:00,2023-04-12 00:00:00,224.4499969482422,220.3000030517578,Target Achieved,2023-04-01 00:00:00,2023-09-01 00:00:00,234.75,230.64999389648438
COALINDIA.NS,2023-04-27 00:00:00,2023-05-02 00:00:00,234.75,231.60000610351562,Tested,2023-04-01 00:00:00,2023-09-01 00:00:00,234.75,230.64999389648438
COALINDIA.NS,2023-06-26 00:00:00,2023-06-28 00:00:00,226.8000030517578,223.89999389648438,Target Achieved,2023-04-01 00:00:00,2023-09-01 00:00:00,234.75,230.64999389648438
COALINDIA.NS,2023-06-30 00:00:00,2023-07-06 00:00:00,233.75,229.85000610351562,Tested,2023-04-01 00:00:00,2023-09-01 00:00:00,234.75,230.64999389648438
COALINDIA.NS,2023-07-28 00:00:00,2023-08-01 00:00:00,229.9499969482422,226.85000610351562,Target Achieved,2023-04-01 00:00:00,2023-09-01 00:00:00,234.75,230.64999389648438
BRITANNIA.NS,2023-04-21 00:00:00,2023-04-25 00:00:00,4339.4501953125,4297.0,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,4564.85009765625,4587.5498046875
BRITANNIA.NS,2023-04-25 00:00:00,2023-04-28 00:00:00,4429.35009765625,4370.7998046875,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,4564.85009765625,4587.5498046875
BRITANNIA.NS,2023-05-29 00:00:00,2023-05-31 00:00:00,4623.5,4563.0,Fresh,2023-04-01 00:00:00,2023-06-01 00:00:00,4564.85009765625,4587.5498046875
HINDALCO.NS,2023-05-31 00:00:00,2023-06-02 00:00:00,414.3999938964844,405.8999938964844,Target Achieved,2023-05-01 00:00:00,2023-07-01 00:00:00,449.8999938964844,417.1499938964844
HINDALCO.NS,2023-07-11 00:00:00,2023-07-13 00:00:00,428.1000061035156,422.25,Fresh,2023-07-01 00:00:00,2023-09-01 00:00:00,463.25,462.1000061035156
